答案1: 举手向监考人员再要一瓶
答案2: 当前CPU正在使用的程序和数据。
答案3: 举手示意监考人员处理
答案4: 源程序文件名由试题名称缩写加后缀构成，试题名称缩写及后缀一律使用小写
答案5: 由工作人员在每场考试开始前下发
答案6: 大规模和超大规模集成电路。
答案7: 非交互式程序题、交互式程序题、答案提交题
答案8: 美国信息交换标准代码。
答案9: 保存好密码条，用于复测。
答案10: 试图访问网络、使用 fork 或其它线程/进程生成函数、打开或创建题目规定的输入/输出文件之外的其它文件、运行其它程序。
答案11: 草稿纸、饮用水、食品。
答案12: 题目允许程序运行所占用的用户时间总和的上限值。
答案13: 机器出现故障，并由工作人员确认和记录
答案14: 单步调试、使用 print 类语句打印中间结果、读源代码。
答案15: 选手目录下和考题名称符合的目录
答案16: 软件是程序以及开发、使用和维护所需要的所有文档的总称,而程序是软件的一部分。
答案17: 全国信息学奥林匹克竞赛。
答案18: 硬件系统和软件系统。
答案19: 提出书面申请，经领队、科学委员会主席签字确认后，提交至评测人员
答案20: 计算机硬件故障、操作系统死机。
