答案1: 草稿纸、饮用水、食品。
答案2: 全国信息学奥林匹克竞赛。
答案3: 非交互式程序题、交互式程序题、答案提交题
答案4: 选手目录下和考题名称符合的目录
答案5: 保存好密码条，用于复测。
答案6: 试图访问网络、使用 fork 或其它线程/进程生成函数、打开或创建题目规定的输入/输出文件之外的其它文件、运行其它程序。
答案7: 本题成绩以0分计算
答案8: 大规模和超大规模集成电路。
答案9: 由工作人员在每场考试开始前下发
答案10: 以硬件资源为限
答案11: 和试卷的题目摘要中所示文件名一致
答案12: 举手向监考人员再要一瓶
答案13: 软件是程序以及开发、使用和维护所需要的所有文档的总称,而程序是软件的一部分。
答案14: 使用考前工作人员下发的账户及密码
答案15: 举手示意监考人员处理
答案16: 请工作人员更换
答案17: 举手向监考人员求助
答案18: 单步调试、使用 print 类语句打印中间结果、读源代码。
答案19: 计算机硬件故障、操作系统死机。
答案20: 纸、U 盘、手机。
答案21: 向工作人员求助
答案22: 题目允许程序运行所占用的用户时间总和的上限值。
答案23: 提出书面申请，经领队、科学委员会主席签字确认后，提交至评测人员
答案24: 答案文件、源程序。
答案25: 源程序文件名由试题名称缩写加后缀构成，试题名称缩写及后缀一律使用小写
答案26: 美国信息交换标准代码。
答案27: 当前CPU正在使用的程序和数据。
答案28: 向工作人员求助
答案29: 随机存取存储器。
答案30: 举手向监考人员求助
